timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750777140143,407,ObtenerArtista,200,OK,PruebaHumoSpotify 1-4,text,true,,1554,312,4,4,https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2,407,0,113
1750777141303,318,TokenSpotify,200,OK,PruebaHumoSpotify 1-2,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,318,0,115
1750777141463,325,TokenSpotify,200,OK,PruebaHumoSpotify 1-3,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,325,0,123
1750777141494,319,TokenSpotify,200,OK,PruebaHumoSpotify 1-1,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,319,0,118
1750777141557,328,TokenSpotify,200,OK,PruebaHumoSpotify 1-4,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,328,0,119
1750777142632,342,ObtenerArtista,200,OK,PruebaHumoSpotify 1-2,text,true,,1529,312,4,4,https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR,342,0,120
1750777142814,340,ObtenerArtista,200,OK,PruebaHumoSpotify 1-1,text,true,,1525,312,4,4,https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x,340,0,124
1750777142798,350,ObtenerArtista,200,OK,PruebaHumoSpotify 1-3,text,true,,1646,312,4,4,https://api.spotify.com/v1/artists/1dfeR4HaWDbWqFHLkxsg1d,350,0,123
1750777142892,336,ObtenerArtista,200,OK,PruebaHumoSpotify 1-4,text,true,,1521,312,4,4,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,336,0,121
1750777143977,331,TokenSpotify,200,OK,PruebaHumoSpotify 1-2,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,331,0,126
1750777144180,319,TokenSpotify,200,OK,PruebaHumoSpotify 1-1,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,319,0,116
1750777144180,332,TokenSpotify,200,OK,PruebaHumoSpotify 1-3,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,332,0,122
1750777144231,326,TokenSpotify,200,OK,PruebaHumoSpotify 1-4,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,326,0,119
1750777145309,337,ObtenerArtista,200,OK,PruebaHumoSpotify 1-2,text,true,,1532,312,4,4,https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR,337,0,117
1750777145501,342,ObtenerArtista,200,OK,PruebaHumoSpotify 1-1,text,true,,1520,312,4,4,https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4,342,0,118
1750777145564,335,ObtenerArtista,200,OK,PruebaHumoSpotify 1-4,text,true,,1554,312,4,4,https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg,335,0,119
